Subject,Trial,VisType,Damage,Distance,TimeD,InOut
2,138,ConeOnly,5,37.214,0,1
2,139,ConeOnly,6,-37.214,0,1
2,140,ConeOnly,6,-173.639,1,1
2,141,ConeOnly,3,353.534,0,0
2,142,ConeOnly,6,173.639,1,1
2,143,ConeOnly,7,173.639,1,1
2,144,ConeOnly,3,-520.917,1,0
2,145,ConeOnly,5,-277.822,1,1
2,146,ConeOnly,4,-148.856,0,1
2,147,ConeOnly,3,659.828,1,0
3,4,FuzzyOnl,2,277.822,1,1
3,5,FuzzyOnl,1,520.917,1,0
3,6,FuzzyOnl,1,520.917,1,0
3,7,FuzzyOnl,2,-148.856,0,1
3,8,FuzzyOnl,3,173.639,1,1
3,9,FuzzyOnl,1,353.534,0,0
3,10,FuzzyOnl,2,148.856,0,1
3,11,FuzzyOnl,1,-353.534,0,0
3,12,FuzzyOnl,4,-37.214,0,1
3,13,FuzzyOnl,1,-520.917,1,0
3,14,FuzzyOnl,2,-277.822,1,1
3,15,FuzzyOnl,2,277.822,1,1
3,16,FuzzyOnl,1,659.828,1,0
3,17,FuzzyOnl,1,416.733,1,0
3,18,FuzzyOnl,4,-69.456,1,1
3,19,FuzzyOnl,1,-659.828,1,0
3,20,FuzzyOnl,3,69.456,1,1
3,21,FuzzyOnl,1,659.828,1,0
3,22,FuzzyOnl,3,37.214,0,1
3,23,FuzzyOnl,2,-277.822,1,1
3,24,FuzzyOnl,2,-173.639,1,1
3,25,FuzzyOnl,2,93.035,0,1
3,26,FuzzyOnl,1,-353.534,0,0
3,27,FuzzyOnl,4,-37.214,0,1
3,28,FuzzyOnl,3,-69.456,1,1
3,29,FuzzyOnl,1,277.822,1,1
3,30,FuzzyOnl,2,93.035,0,1
3,31,FuzzyOnl,1,520.917,1,0
3,32,FuzzyOnl,1,223.285,0,0
3,33,FuzzyOnl,3,-173.639,1,1
3,34,FuzzyOnl,2,148.856,0,1
3,35,FuzzyOnl,1,-659.828,1,0
3,36,FuzzyOnl,2,148.856,0,1
3,37,FuzzyOnl,3,-93.035,0,1
3,38,FuzzyOnl,1,-353.534,0,0
3,39,FuzzyOnl,1,416.733,1,0
3,40,FuzzyOnl,3,37.214,0,1
3,41,FuzzyOnl,2,277.822,1,1
3,42,FuzzyOnl,1,659.828,1,0
3,43,FuzzyOnl,2,-93.035,0,1
3,44,FuzzyOnl,3,37.214,0,1
3,45,FuzzyOnl,1,-223.285,0,0
3,46,FuzzyOnl,1,-520.917,1,0
3,47,FuzzyOnl,1,353.534,0,0
3,48,FuzzyOnl,1,-223.285,0,0
3,49,FuzzyOnl,3,69.456,1,1
3,50,FuzzyOnl,2,93.035,0,1
3,51,FuzzyOnl,2,93.035,0,1
3,52,FuzzyOnl,3,-37.214,0,1
3,53,FuzzyOnl,2,277.822,1,1
3,54,FuzzyOnl,3,37.214,0,1
3,55,FuzzyOnl,1,-279.106,0,0
3,56,FuzzyOnl,2,93.035,0,1
3,57,FuzzyOnl,1,-279.106,0,0
3,58,FuzzyOnl,1,659.828,1,0
3,59,FuzzyOnl,3,-37.214,0,1
3,60,FuzzyOnl,1,-223.285,0,0
3,61,FuzzyOnl,1,-416.733,1,0
3,62,FuzzyOnl,1,-416.733,1,0
3,63,FuzzyOnl,4,-69.456,1,1
3,64,FuzzyOnl,1,223.285,0,0
3,65,FuzzyOnl,2,-93.035,0,1
3,66,FuzzyOnl,2,-173.639,1,1
3,67,FuzzyOnl,1,353.534,0,0
3,68,FuzzyOnl,2,93.035,0,1
3,69,FuzzyOnl,2,-148.856,0,1
3,70,FuzzyOnl,2,-277.822,1,1
3,71,FuzzyOnl,2,-148.856,0,1
3,72,FuzzyOnl,1,-279.106,0,0
3,73,FuzzyOnl,1,-416.733,1,0
3,74,FuzzyOnl,1,520.917,1,0
3,75,FuzzyOnl,1,-520.917,1,0
3,76,FuzzyOnl,2,-277.822,1,1
3,77,FuzzyOnl,3,69.456,1,1
3,78,FuzzyOnl,2,-277.822,1,1
3,79,FuzzyOnl,2,-93.035,0,1
3,80,FuzzyOnl,1,-659.828,1,0
3,81,FuzzyOnl,3,37.214,0,1
3,82,FuzzyOnl,1,-659.828,1,0
3,83,FuzzyOnl,2,173.639,1,1
3,84,FuzzyOnl,3,-37.214,0,1
3,85,FuzzyOnl,4,-69.456,1,1
3,86,FuzzyOnl,3,173.639,1,1
3,87,FuzzyOnl,3,173.639,1,1
3,88,FuzzyOnl,1,520.917,1,0
3,89,FuzzyOnl,3,-173.639,1,1
3,90,FuzzyOnl,1,416.733,1,0
3,91,FuzzyOnl,1,-223.285,0,0
3,92,FuzzyOnl,1,-353.534,0,0
3,93,FuzzyOnl,1,279.106,0,0
3,94,FuzzyOnl,1,279.106,0,0
3,95,FuzzyOnl,3,-37.214,0,1
3,96,FuzzyOnl,2,-148.856,0,1
3,97,FuzzyOnl,1,279.106,0,0
3,98,FuzzyOnl,1,223.285,0,0
3,99,FuzzyOnl,1,-223.285,0,0
3,100,FuzzyOnl,1,223.285,0,0
3,101,FuzzyOnl,1,-416.733,1,0
3,102,FuzzyOnl,3,-93.035,0,1
3,103,FuzzyOnl,2,148.856,0,1
3,104,FuzzyOnl,2,148.856,0,1
3,105,FuzzyOnl,1,279.106,0,0
3,106,FuzzyOnl,2,-277.822,1,1
3,107,FuzzyOnl,2,-148.856,0,1
3,108,FuzzyOnl,1,279.106,0,0
3,109,FuzzyOnl,2,148.856,0,1
3,110,FuzzyOnl,1,-279.106,0,0
3,111,FuzzyOnl,3,173.639,1,1
3,112,FuzzyOnl,1,-416.733,1,0
3,113,FuzzyOnl,1,-353.534,0,0
3,114,FuzzyOnl,1,-416.733,1,0
3,115,FuzzyOnl,1,416.733,1,0
3,116,FuzzyOnl,3,-173.639,1,1
3,117,FuzzyOnl,3,-173.639,1,1
3,118,FuzzyOnl,2,277.822,1,1
3,119,FuzzyOnl,1,-520.917,1,0
3,120,FuzzyOnl,1,659.828,1,0
3,121,FuzzyOnl,1,-279.106,0,0
3,122,FuzzyOnl,1,-279.106,0,0
3,123,FuzzyOnl,1,353.534,0,0
3,124,FuzzyOnl,1,-520.917,1,0
3,125,FuzzyOnl,3,173.639,1,1
3,126,FuzzyOnl,1,-659.828,1,0
3,127,FuzzyOnl,2,-93.035,0,1
3,128,FuzzyOnl,1,223.285,0,0
3,129,FuzzyOnl,1,279.106,0,0
3,130,FuzzyOnl,3,37.214,0,1
3,131,FuzzyOnl,4,-69.456,1,1
3,132,FuzzyOnl,1,223.285,0,0
3,133,FuzzyOnl,1,-659.828,1,0
3,134,FuzzyOnl,1,-353.534,0,0
3,135,FuzzyOnl,3,69.456,1,1
3,136,FuzzyOnl,2,-148.856,0,1
